地方频道,#genre#
CCTV-14少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-15音乐,http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://39.135.36.158:18890/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000008163&owchid=ystenlive&owsid=1106497909461186580&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhY20qRt7%2f617UUdZqFKeX8uE3lV%2bUYqhdkQW8TTtgMeMYnBWivLOAtJKqm6UM8Epy
CCTV-17农业农村,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CGTN,http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
CETV1FHD,http://39.135.15.70:6610/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226954/1.m3u8#http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&accesstoken=R5DC39762U309A5010K776E9437IB19E49DFPBM3221EB5V1044EZ33519WE4EA8496423&programid=4200000256
卫视,#genre#
湖南卫视FHD,http://211.137.115.110:8080/gitv_live/G_HUNAN-MD/G_HUNAN-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221226004/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225935/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226790/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225935/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
安徽卫视FHD,http://211.137.115.110:8080/gitv_live/G_ANHUI-MD/G_ANHUI-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225945/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225945/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020780&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
江苏卫视FHD,http://211.137.115.110:8080/gitv_live/G_JIANGSU-MD/G_JIANGSU-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225751/1/index.m3u8?fmt=ts2hls#http://223.110.243.172/PLTV/1/224/3221227552/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226869/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225930/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225847/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225930/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226869/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
北京卫视FHD,http://211.137.115.110:8080/gitv_live/G_BEIJING-MD/G_BEIJING-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225754/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225937/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225937/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225826/1.m3u8
浙江卫视FHD,http://211.137.115.110:8080/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225750/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225934/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226904/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225934/1.m3u8
东方卫视FHD,http://211.137.115.110:8080/gitv_live/G_DONGFANG-MD/G_DONGFANG-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225752/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226873/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225936/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226142/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225828/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226873/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225936/1.m3u8http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
东南卫视FHD,http://39.135.15.70:6610/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226877/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225833/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009263&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226877/1.m3u8
深圳卫视FHD,http://211.137.115.110:8080/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225712/1/index.m3u8?fmt=ts2hls#http://223.110.243.138/PLTV/1/224/3221227555/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225938/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225938/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
广东卫视FHD,http://211.137.115.110:8080/gitv_live/G_GUANGDONG-MD/G_GUANGDONG-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls#http://223.110.245.172/PLTV/1/224/3221227476/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8#http://211.137.115.110:8080/gitv_live/G_GUANGDONG-MD/G_GUANGDONG-MD.m3u8?p=GITV&area=SAXYD#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://nclive.grtn.cn/gdws/sd/live.m3u8#http://124.90.32.171:6610/zjhs/2/10012/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8
江西卫视FHD,http://39.135.15.70:6610/PLTV/88888888/224/3221225710/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226848/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225868/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225834/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226848/1.m3u8
天津卫视FHD,http://211.137.115.110:8080/gitv_live/G_TIANJIN-MD/G_TIANJIN-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225756/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225941/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225830/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225941/1.m3u8#http://39.135.36.157:18890/000000001000/1000000001000000831/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000000831&owchid=ystenlive&owsid=1106497909461255731&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRcs9zLA6x183T6XfyDHK2Forh1U1TuZtCxYnIsImE91weAhYebQgGPi666EsPHwzC
重庆卫视FHD,http://39.135.15.70:6610/PLTV/88888888/224/3221225686/1/index.m3u8?fmt=ts2hls#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
黑龙江卫视FHD,http://211.137.115.110:8080/gitv_live/G_HEILONGJIANG-MD/G_HEILONGJIANG-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225758/1/index.m3u8?fmt=ts2hls#http://223.110.245.138/PLTV/1/224/3221227514/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225862/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/1.m3u8
湖北卫视FHD,http://211.137.115.110:8080/gitv_live/G_HUBEI-MD/G_HUBEI-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls#http://223.110.243.168/PLTV/1/224/3221227479/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226914/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8#http://223.110.243.170/PLTV/1/224/3221227479/index.m3u8#http://223.110.245.168/PLTV/1/224/3221227479/index.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000010355&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226716/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226914/1.m3u8
山东卫视FHD,http://211.137.115.110:8080/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226858/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225943/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225943/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226858/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
辽宁卫视FHD,http://211.137.115.110:8080/gitv_live/G_LIAONING-MD/G_LIAONING-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225717/1/index.m3u8?fmt=ts2hls#http://183.207.249.8/PLTV/1/224/3221227485/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226881/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225832/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225947/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226881/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=7638375013635582245&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
广西卫视FHD,http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5DC2A42FU309BB004K7738E848ICA43ED17PBM345713AV0Z57EA5W15D48CE92ED319F0&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000125#http://stream.cdn.liangtv.cn/live/liangtv_gxws/playlist.m3u8?wsSession=-&wsIPSercert=&wsMonitor=-1
贵州卫视FHD,http://39.135.15.70:6610/PLTV/88888888/224/3221225703/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226864/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8#http://112.5.223.63/ott.fj.chinamobile.com/PLTV/88888888/224/3221226864/1.m3u8?icpid=88888888&from=1&ocs=2_112.5.223.63_80&hms_devid=483#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226864/1.m3u8#http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&accesstoken=R5DC39762U309A5010K776E9437IB19E49DFPBM3221EB5V1044EZ33519WE4EA8496423&programid=4200000251
